reading_date,week_id,sort_order,meter_id,b_code,floor,subb_code,building_name,raw_reading,raw_unit,reader,note
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,77,T.0019__FL08__AP8,T.0019,FL08,AP8,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 8,62310,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,78,T.0019__FL09__SCB_9,T.0019,FL09,SCB 9,ท.0019 ชั้นที่ 9 (รวม),434865.76,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,79,T.0019__FL09__LP9,T.0019,FL09,LP9,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบแสงสว่าง 9,41092.04,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,80,T.0019__FL09__PP91,T.0019,FL09,PP91,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/1,26780.32,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,81,T.0019__FL09__PP92,T.0019,FL09,PP92,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/2,29872.64,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,82,T.0019__FL09__AP9,T.0019,FL09,AP9,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 9,64899.83,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,83,T.0019__FL09__PPD,T.0019,FL09,PPD,ท.0019 ชั้นที่ 9 PPD,254904.19,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,84,T.0019__FL09__PPAC_1,T.0019,FL09,PPAC 1,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 1,125490.18,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,85,T.0019__FL09__PPAC_2,T.0019,FL09,PPAC 2,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 2,117196.92,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,86,T.0019__FL09__PPAC_3,T.0019,FL09,PPAC 3,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 3,47100.47,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,87,T.0019__FL09__BP,T.0019,FL09,BP,ท.0019 Booster Pump,11569.45,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,88,T.0019__FL09__PPL,T.0019,FL09,PPL,ท.0019 PPL (Lift),111709.48,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,89,T.0020__FL01__SCB_21,T.0020,FL01,SCB 21,ท.0020 อาคาร ศูนย์รับรองสมรรถนะงานเดิมเครื่องและบำรุงรักษา,68563.51,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,90,T.0020__FL01__LP21,T.0020,FL01,LP21,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 1,37007.69,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,91,T.0020__FL01__PP21,T.0020,FL01,PP21,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 1,52705.75,kWh,,
