department,allocation_ratio,building_name,thai_code,b_code_hint,floor_hint,source_row
อคม.,1.0,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2,ท.0015,T.0015,,102
อคม.,0.5,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.",ท.0019,T.0019,FL05,103
อคม.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบแสงสว่าง 5,ท.0019,T.0019,FL05,104
อคม.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/1,ท.0019,T.0019,FL05,105
อคม.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/2,ท.0019,T.0019,FL05,106
อคม.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 5,ท.0019,T.0019,FL05,107
อบย.,0.16666666666666666,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019,T.0019,FL01,109
อบย.,0.05,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,ท.0014,T.0014,,110
อบย.,1.0,ท.0019 ชั้นที่ 4 อบย.,ท.0019,T.0019,FL04,111
อบย.,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบแสงสว่าง 4,ท.0019,T.0019,FL04,112
อบย.,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 4/1,ท.0019,T.0019,FL04,113
อบย.,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 4/2,ท.0019,T.0019,FL04,114
อบย.,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 4,ท.0019,T.0019,FL04,115
อรอ.,1.0,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,ท.0006,T.0006,,117
